IM,NM,DR,RG,CM,TL,AT,Horario
3707,SAN ENRIQUE,hermanos carrera n° 544,6,102,+56722851385,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
220,SAN ENRIQUE,av. centenario  n° 67,5,71,+56352216791,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
203,SAN ENRIQUE,san marcos nº793 local 01,5,75,+56352469037,0,"{'semana': 'Lunes - Sábado: 10:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
7224,SAN ENRIQUE,avenida san pedro n° 39 y 41,13,18,,0,"{'semana': 'Lunes - Viernes: 09:00 a 14:00 y 15:00 a 19:00 hrs.<br>Sábado: 11:00 a 14:00 y 15:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 14:00 y 15:00 a 19:00 hrs.<br>', 'turno': ''}"
2558,SAN ENRIQUE ,libertador bernardo o'higgins 215,13,338,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 11:00 a 14:00 y 15:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
6382,SAN FELIPE,"pasaje antonio gaudí n° 1835, casa 35",13,345,,0,"{'semana': 'Lunes - Viernes: 10:00 a 20:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
4121,SAN FELIPE,monumento 1794-2,13,313,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
8150,SAN FELIPE,el filodendro 18810,13,313,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
1277,SAN FELIPE,primo de rivera 1493. ekono,13,313,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
1190,SAN FRANCISCO ,san francisco 7028,13,311,+560226455131,0,"{'semana': 'Lunes - Sábado: 10:30 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:30 a 22:00 hrs.<br>', 'turno': ''}"
30,SAN IGNACIO,la concepcion n° 990,5,64,+56332319407,0,"{'semana': 'Lunes - Sábado: 10:30 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:30 a 22:00 hrs.<br>', 'turno': ''}"
4043,SAN IGNACIO,av. padre hurtado 11337,13,299,+560284048080,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 15:30 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 15:30 a 19:00 hrs.<br>', 'turno': ''}"
306,SAN JAVIER,el membrillo 3150 local 8,5,53,+56322646625,1,"{'semana': 'Lunes - Sábado: 09:00 a 20:15 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 20:15 hrs.<br>', 'turno': ''}"
1764,SAN JOSE,san ignacio 4204,13,324,+5602224438480,0,"{'semana': 'Lunes - Viernes: 10:00 a 21:00 hrs.<br>Sábado: 10:00 a 22:00 hrs.<br>Domingo: 11:00 a 14:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
1740,SAN JOSE,comercio   19823,13,329,+560228612072,0,"{'semana': 'Lunes - Sábado: 10:00 a 20:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:30 hrs.<br>', 'turno': ''}"
272,SAN JOSE PAPUDO,chorrillos n°93,5,61,+5633+56999987723,0,"{'semana': 'Lunes - Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
6403,SAN JUAN,condel 1299 - a,5,45,+566306 0175,0,"{'semana': 'Lunes - Sábado: 08:00 a 20:00 hrs.<br>Domingo: 09:00 a 14:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 20:00 hrs.<br>', 'turno': ''}"
