IM,NM,DR,RG,CM,TL,AT,Horario
3803,FARMACIA AHUMADA,"zenteno nº 21, interior lider",2,12,+565526313124,1,"{'semana': 'Lunes - Domingo: 09:00 a 22:30 hrs.<br>Festivos: 09:00 a 22:30 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:30 hrs.<br>', 'turno': ''}"
4564,FARMACIA AHUMADA,"av. los carrera n° 3791, int. lider",3,21,+5602232740714,1,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
3786,FARMACIA AHUMADA,arturo prat nº 605,2,12,+560226313121,0,"{'semana': 'Lunes - Sábado: 10:00 a 21:00 hrs.<br>Domingo: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
3467,FARMACIA AHUMADA,latorre nº 1979,2,16,+560226313120,0,"{'semana': 'Lunes - Sábado: 09:00 a 23:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 23:00 hrs.<br>', 'turno': ''}"
3489,FARMACIA AHUMADA,"av. angamos nº 745, local 2040",2,12,+5626313114,0,"{'semana': 'Lunes - Domingo: 09:00 a 21:00 hrs.<br>Festivos: 09:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3490,FARMACIA AHUMADA,av. universidad de antofagasta nº 2751,2,12,+560226313051,0,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
3789,FARMACIA AHUMADA,maipú nº 689,2,12,+560226313122,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
9082,FARMACIA AHUMADA,maipú 110,3,21,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3495,FARMACIA AHUMADA,caparrosa nº355,2,12,+560226313428,1,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: 11:00 a 14:00 y 17:00 a 22:00 hrs.<br>Festivos: 11:00 a 14:00 y 17:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
315,FARMACIA AHUMADA,tarapaca 599,1,5,+560226313267,0,"{'semana': 'Lunes - Sábado: 10:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
